Clube,Plantel,ø Idade,Estrangeiros,ø Valor de Mercado,Valor de Mercado Total,Temporada,Time_ajustado,Chave,Pontos
SC Corinthians,57,23.7,8,1990000.0,113450000.0,2020,Corinthians,Corinthians2020,51
CR Flamengo,64,22.0,9,1640000.0,105100000.0,2020,Flamengo,Flamengo2020,71
SE Palmeiras,57,22.5,8,1540000.0,88000000.0,2020,Palmeiras,Palmeiras2020,58
Atlético Mineiro,60,23.3,11,1170000.0,70150000.0,2020,Atlético-MG,Atlético-MG2020,68
SC Internacional,52,23.4,10,1310000.0,68250000.0,2020,Internacional,Internacional2020,70
Grêmio FBPA,51,24.8,4,1280000.0,65300000.0,2020,Grêmio,Grêmio2020,59
São Paulo FC,47,22.9,6,1070000.0,50200000.0,2020,São Paulo,São Paulo2020,66
Santos FC,55,22.5,6,738000.0,40580000.0,2020,Santos,Santos2020,54
EC Bahia,68,23.1,1,583000.0,39680000.0,2020,Bahia,Bahia2020,44
CR Vasco da Gama,50,23.0,5,778000.0,38900000.0,2020,Vasco da Gama,Vasco da Gama2020,41
Coritiba FC,61,24.0,4,581000.0,35450000.0,2020,Coritiba,Coritiba2020,31
Botafogo FR,64,22.3,9,488000.0,31250000.0,2020,Botafogo,Botafogo2020,27
Athletico Paranaense,71,22.1,5,435000.0,30850000.0,2020,Athletico-PR,Athletico-PR2020,53
Goiás EC,71,22.8,7,411000.0,29200000.0,2020,Goiás,Goiás2020,37
Fluminense FC,57,23.0,3,483000.0,27530000.0,2020,Fluminense,Fluminense2020,64
Sport Recife,59,23.5,3,464000.0,27380000.0,2020,Sport,Sport2020,42
Ceará SC,48,24.8,0,484000.0,23250000.0,2020,Ceará,Ceará2020,52
Atlético Goianiense,67,21.6,2,317000.0,21250000.0,2020,Atlético-GO,Atlético-GO2020,50
Fortaleza EC,44,25.4,4,447000.0,19650000.0,2020,Fortaleza,Fortaleza2020,41
RB Bragantino,42,22.4,5,368000.0,15480000.0,2020,Bragantino,Bragantino2020,53
CR Flamengo,62,22.0,5,2990000.0,185600000.0,2021,Flamengo,Flamengo2021,71
SC Corinthians,50,23.0,6,2650000.0,132350000.0,2021,Corinthians,Corinthians2021,57
Grêmio FBPA,59,24.0,6,2040000.0,120280000.0,2021,Grêmio,Grêmio2021,43
Atlético Mineiro,48,23.9,8,2220000.0,106450000.0,2021,Atlético-MG,Atlético-MG2021,84
SE Palmeiras,58,22.3,5,1610000.0,93250000.0,2021,Palmeiras,Palmeiras2021,66
São Paulo FC,51,23.2,9,1410000.0,71900000.0,2021,São Paulo,São Paulo2021,48
SC Internacional,57,21.9,10,1260000.0,71850000.0,2021,Internacional,Internacional2021,48
Santos FC,63,22.2,5,852000.0,53700000.0,2021,Santos,Santos2021,50
Fluminense FC,63,23.2,6,621000.0,39130000.0,2021,Fluminense,Fluminense2021,54
RB Bragantino,44,21.7,5,768000.0,33800000.0,2021,Bragantino,Bragantino2021,56
Athletico Paranaense,63,21.5,5,498000.0,31350000.0,2021,Athletico-PR,Athletico-PR2021,47
Fortaleza EC,46,25.7,4,678000.0,31200000.0,2021,Fortaleza,Fortaleza2021,58
EC Bahia,74,23.0,6,410000.0,30350000.0,2021,Bahia,Bahia2021,43
Sport Recife,71,22.4,2,394000.0,27950000.0,2021,Sport,Sport2021,38
EC Juventude,49,26.2,6,547000.0,26830000.0,2021,Juventude,Juventude2021,46
Atlético Goianiense,63,22.1,2,392000.0,24700000.0,2021,Atlético-GO,Atlético-GO2021,53
Ceará SC,69,22.6,2,318000.0,21930000.0,2021,Ceará,Ceará2021,50
Cuiabá EC,62,22.7,3,339000.0,21000000.0,2021,Cuiabá,Cuiabá2021,47
América Mineiro,57,23.9,2,297000.0,16950000.0,2021,América-MG,América-MG2021,53
Chapecoense,53,23.1,0,259000.0,13750000.0,2021,Chapecoense,Chapecoense2021,15
CR Flamengo,61,23.1,5,2980000.0,181950000.0,2022,Flamengo,Flamengo2022,62
SC Corinthians,52,24.2,7,2540000.0,131900000.0,2022,Corinthians,Corinthians2022,65
Atlético Mineiro,44,25.0,8,2610000.0,115000000.0,2022,Atlético-MG,Atlético-MG2022,58
SE Palmeiras,42,23.1,6,2660000.0,111600000.0,2022,Palmeiras,Palmeiras2022,81
SC Internacional,51,24.0,9,2049999.9999999998,104430000.0,2022,Internacional,Internacional2022,73
Botafogo FR,62,24.0,6,1350000.0,83450000.0,2022,Botafogo,Botafogo2022,53
Athletico Paranaense,67,21.9,9,1060000.0,70930000.0,2022,Athletico-PR,Athletico-PR2022,58
São Paulo FC,48,23.0,10,1410000.0,67880000.0,2022,São Paulo,São Paulo2022,54
Santos FC,52,22.6,9,1000000.0,52180000.0,2022,Santos,Santos2022,47
RB Bragantino,47,21.4,6,1050000.0,49280000.0,2022,Bragantino,Bragantino2022,44
Fluminense FC,46,25.3,5,897000.0,41280000.0,2022,Fluminense,Fluminense2022,70
Fortaleza EC,43,25.7,7,759000.0,32650000.0,2022,Fortaleza,Fortaleza2022,55
Avaí FC,64,25.2,3,505000.0,32299999.999999996,2022,Avaí,Avaí2022,35
Ceará SC,52,24.5,2,532000.0,27650000.0,2022,Ceará,Ceará2022,37
Cuiabá EC,63,22.8,3,425000.0,26750000.0,2022,Cuiabá,Cuiabá2022,41
Coritiba FC,54,23.6,8,475000.0,25630000.0,2022,Coritiba,Coritiba2022,42
América Mineiro,56,24.4,7,439000.0,24580000.0,2022,América-MG,América-MG2022,53
EC Juventude,55,24.2,4,403000.0,22180000.0,2022,Juventude,Juventude2022,22
Goiás EC,70,22.2,0,303000.0,21200000.0,2022,Goiás,Goiás2022,46
Atlético Goianiense,52,22.9,3,319000.0,16579999.999999998,2022,Atlético-GO,Atlético-GO2022,36
CR Flamengo,58,22.4,5,3330000.0,193100000.0,2023,Flamengo,Flamengo2023,66
Atlético Mineiro,40,25.7,7,3460000.0,138400000.0,2023,Atlético-MG,Atlético-MG2023,66
Botafogo FR,64,24.1,14,1980000.0,126430000.0,2023,Botafogo,Botafogo2023,64
SE Palmeiras,42,23.0,7,2870000.0,120500000.0,2023,Palmeiras,Palmeiras2023,70
São Paulo FC,50,23.5,11,2240000.0,112180000.0,2023,São Paulo,São Paulo2023,53
Grêmio FBPA,62,23.5,10,1610000.0,99980000.0,2023,Grêmio,Grêmio2023,68
SC Corinthians,48,23.2,8,2080000.0,99950000.0,2023,Corinthians,Corinthians2023,50
Santos FC,56,24.2,11,1680000.0,94200000.0,2023,Santos,Santos2023,43
Fluminense FC,59,23.5,7,1320000.0,77700000.0,2023,Fluminense,Fluminense2023,56
SC Internacional,41,25.4,10,1880000.0,77150000.0,2023,Internacional,Internacional2023,55
RB Bragantino,49,21.4,7,1550000.0,75850000.0,2023,Bragantino,Bragantino2023,62
CR Vasco da Gama,70,22.7,10,1040000.0,72850000.0,2023,Vasco da Gama,Vasco da Gama2023,45
EC Bahia,72,21.4,5,979000.0,70500000.0,2023,Bahia,Bahia2023,44
Cruzeiro EC,51,23.5,1,1230000.0,62750000.0,2023,Cruzeiro,Cruzeiro2023,47
Coritiba FC,61,24.6,8,956000.0,58330000.0,2023,Coritiba,Coritiba2023,30
Athletico Paranaense,53,22.5,8,1090000.0,57730000.0,2023,Athletico-PR,Athletico-PR2023,56
Fortaleza EC,44,26.0,8,1030000.0,45330000.0,2023,Fortaleza,Fortaleza2023,54
América Mineiro,54,25.1,8,633000.0,34180000.0,2023,América-MG,América-MG2023,24
Goiás EC,64,23.9,2,435000.0,27830000.0,2023,Goiás,Goiás2023,38
Cuiabá EC,46,24.2,3,465000.0,21380000.0,2023,Cuiabá,Cuiabá2023,51
CR Flamengo,69,21.5,10,3100000.0,214150000.0,2024,Flamengo,Flamengo2024,70
SE Palmeiras,43,23.2,7,3560000.0,153100000.0,2024,Palmeiras,Palmeiras2024,73
SC Corinthians,57,23.2,11,2550000.0,145500000.0,2024,Corinthians,Corinthians2024,56
Botafogo FR,59,24.2,12,2230000.0,131430000.0,2024,Botafogo,Botafogo2024,79
Atlético Mineiro,44,25.1,10,2990000.0,131350000.0,2024,Atlético-MG,Atlético-MG2024,47
SC Internacional,51,25.1,12,2420000.0,123230000.0,2024,Internacional,Internacional2024,65
São Paulo FC,49,24.1,13,2320000.0,113750000.0,2024,São Paulo,São Paulo2024,59
CR Vasco da Gama,64,23.2,13,1670000.0,106950000.0,2024,Vasco da Gama,Vasco da Gama2024,50
Cruzeiro EC,51,23.6,8,1990000.0,101680000.0,2024,Cruzeiro,Cruzeiro2024,52
Fluminense FC,67,24.7,9,1480000.0,98950000.0,2024,Fluminense,Fluminense2024,46
Grêmio FBPA,60,23.7,14,1450000.0,87000000.0,2024,Grêmio,Grêmio2024,45
EC Bahia,63,22.3,7,1220000.0,76950000.0,2024,Bahia,Bahia2024,53
RB Bragantino,61,21.0,9,1220000.0,74250000.0,2024,Bragantino,Bragantino2024,44
Athletico Paranaense,54,22.4,9,1200000.0,64599999.99999999,2024,Athletico-PR,Athletico-PR2024,42
Fortaleza EC,43,26.3,10,1050000.0,45050000.0,2024,Fortaleza,Fortaleza2024,68
Atlético Goianiense,55,24.1,11,593000.0,32600000.0,2024,Atlético-GO,Atlético-GO2024,30
Criciúma EC,48,25.0,7,646000.0,31000000.0,2024,Criciúma,Criciúma2024,38
EC Vitória,60,25.2,3,517000.0,31000000.0,2024,Vitória,Vitória2024,47
Cuiabá EC,45,23.1,2,522000.0,23480000.0,2024,Cuiabá,Cuiabá2024,30
EC Juventude,53,24.2,2,408000.0,21600000.0,2024,Juventude,Juventude2024,45
SE Palmeiras,31,25.9,8,7700000.0,238750000.0,2025,Palmeiras,Palmeiras2025,0
CR Flamengo,31,27.0,7,7070000.0,219150000.0,2025,Flamengo,Flamengo2025,0
Botafogo FR,34,25.9,6,4000000.0,135950000.0,2025,Botafogo,Botafogo2025,0
SC Corinthians,34,26.2,10,3630000.0,123250000.0,2025,Corinthians,Corinthians2025,0
SC Internacional,42,25.3,9,2540000.0,106650000.0,2025,Internacional,Internacional2025,0
Santos FC,33,26.9,7,2900000.0,95600000.0,2025,Santos,Santos2025,0
Cruzeiro EC,29,27.9,6,3280000.0,95050000.0,2025,Cruzeiro,Cruzeiro2025,0
Atlético Mineiro,28,26.9,7,3350000.0,93700000.0,2025,Atlético-MG,Atlético-MG2025,0
Grêmio FBPA,33,26.4,11,2820000.0,93000000.0,2025,Grêmio,Grêmio2025,0
EC Bahia,29,27.6,5,3170000.0,92000000.0,2025,Bahia,Bahia2025,0
CR Vasco da Gama,34,27.9,11,2570000.0,87500000.0,2025,Vasco da Gama,Vasco da Gama2025,0
São Paulo FC,35,26.8,7,2280000.0,79850000.0,2025,São Paulo,São Paulo2025,0
Fluminense FC,35,28.2,9,2100000.0,73600000.0,2025,Fluminense,Fluminense2025,0
RB Bragantino,30,25.1,7,2340000.0,70100000.0,2025,Bragantino,Bragantino2025,0
Fortaleza EC,30,30.0,10,1600000.0,47850000.0,2025,Fortaleza,Fortaleza2025,0
EC Vitória,39,27.5,1,1040000.0,40400000.0,2025,Vitória,Vitória2025,0
Sport Recife,32,28.3,8,1150000.0,36700000.0,2025,Sport,Sport2025,0
Ceará SC,36,28.6,5,833000.0,30000000.0,2025,Ceará,Ceará2025,0
EC Juventude,39,27.8,4,470000.0,18330000.0,2025,Juventude,Juventude2025,0
Mirassol FC,35,29.2,1,521000.0,18230000.0,2025,Mirassol,Mirassol2025,0
